Date,SKU,Brand,Region,Category,Quantity,Sales,Revenue,Price_Per_Unit
01/08/2022,PROD-023,Samsung,West,Computers,57,623.2534932,35525.44911,10.93427181
01/08/2022,PROD-026,Sony,North,Electronics,43,515.225762,22154.70776,11.98199446
02/08/2022,PROD-027,Apple,North,Electronics,51,597.2410914,30459.29566,11.71060963
02/08/2022,PROD-020,Sony,East,Electronics,66,813.3507896,53681.15211,12.32349681
02/08/2022,PROD-020,Apple,North,Accessories,53,650.0543756,34452.88191,12.2651769
02/08/2022,PROD-020,Microsoft,North,Computers,50,607.7809441,30389.04721,12.15561888
03/08/2022,PROD-004,Apple,East,Electronics,62,710.6487006,44060.21944,11.46207582
03/08/2022,PROD-001,Apple,West,Computers,55,700.7160575,38539.38316,12.74029195
03/08/2022,PROD-011,LG,West,Computers,56,649.9194695,36395.49029,11.60570481
03/08/2022,PROD-023,Samsung,East,Computers,54,632.1300098,34135.02053,11.70611129
03/08/2022,PROD-010,Apple,South,Accessories,51,589.2676251,30052.64888,11.55426716
03/08/2022,PROD-011,Microsoft,West,Appliances,51,588.8287785,30030.2677,11.54566232
03/08/2022,PROD-019,Sony,North,Accessories,54,676.7900014,36546.66007,12.53314817
03/08/2022,PROD-010,Google,North,Computers,59,719.4836893,42449.53767,12.1946388
04/08/2022,PROD-033,Apple,North,Computers,56,679.066799,38027.74075,12.12619284
04/08/2022,PROD-002,Samsung,North,Appliances,63,786.8104889,49569.0608,12.48905538
05/08/2022,PROD-033,Samsung,South,Electronics,52,679.8958555,35354.58448,13.0749203
05/08/2022,PROD-030,Google,West,Accessories,55,688.5260962,37868.93529,12.51865629
05/08/2022,PROD-029,Microsoft,South,Accessories,38,453.5497488,17234.89046,11.93551971
05/08/2022,PROD-003,Sony,South,Computers,43,506.7035743,21788.2537,11.78380405
05/08/2022,PROD-002,Apple,North,Computers,56,662.7262945,37112.67249,11.83439812
06/08/2022,PROD-032,Microsoft,East,Appliances,57,705.4059249,40208.13772,12.37554254
06/08/2022,PROD-003,LG,West,Appliances,51,600.4755759,30624.25437,11.7740309
06/08/2022,PROD-020,Samsung,South,Appliances,36,465.4128793,16754.86365,12.92813553
06/08/2022,PROD-010,LG,East,Electronics,25,320.8564939,8021.412349,12.83425976
07/08/2022,PROD-009,Samsung,North,Electronics,53,674.6185239,35754.78177,12.7286514
07/08/2022,PROD-005,LG,West,Electronics,35,404.0194093,14140.67932,11.54341169
07/08/2022,PROD-008,Microsoft,North,Accessories,38,466.1312493,17712.98747,12.26661182
07/08/2022,PROD-020,Apple,East,Accessories,49,541.2941183,26523.4118,11.04681874
07/08/2022,PROD-026,LG,East,Accessories,34,395.2016476,13436.85602,11.62357787
07/08/2022,PROD-016,Samsung,East,Electronics,55,681.3509216,37474.30069,12.38819857
07/08/2022,PROD-006,Microsoft,North,Computers,56,634.3129456,35521.52495,11.32701689
07/08/2022,PROD-024,Samsung,North,Computers,56,658.6121907,36882.28268,11.76093198
08/08/2022,PROD-015,Google,East,Accessories,79,984.5764574,77781.54013,12.46299313
08/08/2022,PROD-030,Sony,South,Computers,63,797.5368811,50244.82351,12.65931557
08/08/2022,PROD-019,Samsung,West,Appliances,62,718.9412081,44574.3549,11.59582594
08/08/2022,PROD-027,Sony,North,Electronics,48,586.8175099,28167.24048,12.22536479
08/08/2022,PROD-014,Google,South,Accessories,51,592.0260124,30193.32663,11.60835318
08/08/2022,PROD-009,LG,East,Appliances,51,625.1490589,31882.602,12.25782468
08/08/2022,PROD-015,Microsoft,West,Appliances,49,583.3130924,28582.34153,11.90434882
09/08/2022,PROD-026,Sony,East,Electronics,51,567.6658531,28950.95851,11.130703
09/08/2022,PROD-002,Microsoft,West,Electronics,43,523.9709547,22530.75105,12.18537104
09/08/2022,PROD-013,Microsoft,North,Computers,59,655.2254908,38658.30396,11.10551679
09/08/2022,PROD-001,Google,West,Electronics,43,553.5416926,23802.29278,12.87306262
09/08/2022,PROD-019,Samsung,North,Accessories,45,555.4571296,24995.57083,12.34349177
10/08/2022,PROD-013,Google,East,Electronics,60,672.0484374,40322.90624,11.20080729
10/08/2022,PROD-004,LG,South,Computers,41,506.7280848,20775.85148,12.35922158
10/08/2022,PROD-033,Sony,North,Electronics,58,768.0853838,44548.95226,13.24285144
10/08/2022,PROD-001,LG,East,Electronics,49,592.9355487,29053.84189,12.10072548
10/08/2022,PROD-014,Microsoft,East,Appliances,40,469.3966433,18775.86573,11.73491608
10/08/2022,PROD-017,Microsoft,East,Appliances,46,542.8831568,24972.62521,11.80180776
10/08/2022,PROD-006,Apple,North,Appliances,19,240.5682614,4570.796967,12.66148744
10/08/2022,PROD-036,Microsoft,North,Computers,54,603.7979032,32605.08677,11.18144265
10/08/2022,PROD-025,Apple,West,Computers,46,555.4285945,25549.71535,12.07453466
11/08/2022,PROD-004,Google,West,Appliances,59,667.982753,39410.98243,11.32174158
11/08/2022,PROD-007,Apple,East,Electronics,47,564.7328861,26542.44565,12.01559332
11/08/2022,PROD-029,Sony,South,Accessories,52,640.808386,33322.03607,12.32323819
11/08/2022,PROD-006,LG,East,Appliances,44,465.4282025,20478.84091,10.57791369
11/08/2022,PROD-019,Google,South,Computers,53,663.3527982,35157.6983,12.51609053
11/08/2022,PROD-018,Samsung,East,Computers,47,563.7124738,26494.48627,11.99388242
11/08/2022,PROD-031,Microsoft,North,Accessories,46,576.6235552,26524.68354,12.53529468
11/08/2022,PROD-003,Sony,West,Computers,65,830.1436919,53959.33997,12.77144141
12/08/2022,PROD-019,Apple,West,Accessories,40,493.5807552,19743.23021,12.33951888
12/08/2022,PROD-016,Microsoft,West,Computers,47,601.2154251,28257.12498,12.79181756
12/08/2022,PROD-035,Samsung,North,Computers,54,553.8574272,29908.30107,10.25661902
12/08/2022,PROD-018,Samsung,North,Accessories,48,641.1142157,30773.48235,13.35654616
13/08/2022,PROD-032,Samsung,North,Computers,67,754.2362317,50533.82752,11.25725719
13/08/2022,PROD-020,Sony,South,Accessories,58,702.2463358,40730.28748,12.10769544
13/08/2022,PROD-009,Sony,West,Accessories,65,800.5869419,52038.15122,12.31672218
13/08/2022,PROD-021,Sony,South,Computers,34,413.3235616,14053.00109,12.15657534
13/08/2022,PROD-002,LG,South,Appliances,52,645.6224788,33572.3689,12.4158169
13/08/2022,PROD-033,Apple,East,Appliances,54,675.7203043,36488.89643,12.51333897
13/08/2022,PROD-022,Sony,West,Appliances,43,567.3100355,24394.33152,13.19325664
14/08/2022,PROD-034,Apple,West,Appliances,44,559.5523403,24620.30297,12.71709864
14/08/2022,PROD-035,LG,North,Accessories,63,803.4605595,50618.01525,12.75334221
14/08/2022,PROD-004,Google,East,Appliances,60,746.0526532,44763.15919,12.43421089
14/08/2022,PROD-033,Apple,East,Electronics,48,552.4522301,26517.70704,11.50942146
14/08/2022,PROD-021,Google,North,Appliances,42,487.6537,20481.4554,11.61080238
14/08/2022,PROD-022,Google,West,Electronics,57,714.1096433,40704.24967,12.52823936
14/08/2022,PROD-023,LG,West,Appliances,60,743.6336109,44618.01665,12.39389351
15/08/2022,PROD-020,Google,North,Electronics,54,654.77521,35357.86134,12.12546685
15/08/2022,PROD-006,Sony,South,Computers,64,786.8231628,50356.68242,12.29411192
15/08/2022,PROD-028,LG,South,Accessories,60,667.5686574,40054.11944,11.12614429
15/08/2022,PROD-001,LG,South,Computers,54,642.0858653,34672.63673,11.89047899
16/08/2022,PROD-019,Sony,East,Accessories,53,615.0078756,32595.41741,11.60392218
16/08/2022,PROD-013,Microsoft,South,Computers,31,369.0252522,11439.78282,11.90404039
16/08/2022,PROD-008,Sony,North,Computers,49,574.8794453,28169.09282,11.73223358
16/08/2022,PROD-027,Samsung,South,Computers,51,637.5366235,32514.3678,12.50071811
17/08/2022,PROD-008,Samsung,East,Electronics,44,487.6410145,21456.20464,11.08275033
17/08/2022,PROD-026,LG,North,Appliances,46,554.9561864,25527.98458,12.06426492
17/08/2022,PROD-011,Apple,South,Electronics,46,544.5303846,25048.39769,11.83761706
17/08/2022,PROD-032,Sony,East,Accessories,37,447.7937028,16568.367,12.10253251
17/08/2022,PROD-011,Google,West,Electronics,56,673.0430676,37690.41179,12.01862621
17/08/2022,PROD-018,Sony,East,Accessories,47,588.4676865,27657.98127,12.52058907
17/08/2022,PROD-028,Samsung,East,Electronics,54,621.00005,33534.0027,11.50000093
17/08/2022,PROD-030,Google,North,Accessories,64,762.5156956,48801.00452,11.91430774
17/08/2022,PROD-026,Apple,South,Appliances,29,338.5008559,9816.524821,11.67244331
18/08/2022,PROD-020,Sony,South,Appliances,32,391.3273404,12522.47489,12.22897939
18/08/2022,PROD-023,Samsung,West,Accessories,50,623.6027586,31180.13793,12.47205517
18/08/2022,PROD-014,Google,North,Computers,53,627.2597025,33244.76423,11.83508873
18/08/2022,PROD-013,Samsung,West,Electronics,40,466.8013724,18672.05489,11.67003431
18/08/2022,PROD-007,LG,South,Accessories,65,840.9449635,54661.42263,12.93761482
18/08/2022,PROD-013,Sony,North,Electronics,42,469.2896589,19710.16568,11.17356331
19/08/2022,PROD-002,Google,North,Accessories,57,675.9106704,38526.90821,11.85808194
19/08/2022,PROD-001,Google,North,Appliances,38,432.1464952,16421.56682,11.37227619
19/08/2022,PROD-020,Samsung,North,Computers,30,361.2982037,10838.94611,12.04327346
19/08/2022,PROD-025,Sony,North,Computers,51,569.3982628,29039.3114,11.16467182
19/08/2022,PROD-004,Sony,North,Computers,35,417.2297934,14603.04277,11.92085124
19/08/2022,PROD-016,Samsung,South,Appliances,52,637.866004,33169.03221,12.26665392
19/08/2022,PROD-001,Google,East,Appliances,55,678.273015,37305.01583,12.33223664
20/08/2022,PROD-011,LG,West,Appliances,59,744.2837752,43912.74274,12.61497924
20/08/2022,PROD-009,Samsung,North,Electronics,53,671.3659404,35582.39484,12.66728189
20/08/2022,PROD-001,LG,South,Computers,82,984.9224432,80763.64034,12.01124931
20/08/2022,PROD-036,LG,East,Accessories,34,425.0790037,14452.68612,12.50232364
20/08/2022,PROD-013,Microsoft,South,Computers,64,765.4987798,48991.92191,11.96091843
20/08/2022,PROD-025,LG,East,Computers,58,721.4542132,41844.34437,12.43886575
21/08/2022,PROD-010,Samsung,South,Computers,62,705.6962117,43753.16513,11.38219696
21/08/2022,PROD-016,Samsung,North,Electronics,65,743.6456633,48336.96812,11.44070251
21/08/2022,PROD-028,Google,North,Electronics,68,852.8018198,57990.52375,12.54120323
21/08/2022,PROD-011,Apple,North,Appliances,48,598.2785436,28717.37009,12.46413633
21/08/2022,PROD-032,Apple,South,Electronics,47,631.0129037,29657.60648,13.42580646
22/08/2022,PROD-007,Samsung,South,Electronics,65,820.8419639,53354.72766,12.62833791
22/08/2022,PROD-022,Google,North,Electronics,39,449.8600608,17544.54237,11.53487335
22/08/2022,PROD-030,Sony,North,Electronics,61,727.5506656,44380.5906,11.92706009
22/08/2022,PROD-023,Microsoft,West,Electronics,50,601.5872107,30079.36053,12.03174421
22/08/2022,PROD-009,Samsung,North,Computers,73,895.7047122,65386.44399,12.26992756
22/08/2022,PROD-010,Microsoft,South,Electronics,69,813.8444808,56155.26918,11.79484755
